Production,Year,Venue/type,Music,Lyrics,Book,Notes,Reference
Bernardine,1957,Film,Lionel Newman and Johnny Mercer,Newman and Mercer,Mary Chase and Theodore Reeves,,
Besame Mucho,2005,Mexican jukebox,José María Vitier (arranger),Various artists,"Consuelo Garrido, Lorena Maza and Victor Weinstock",Based on Bolero songs of the 1920s Mexico.,
Best Foot Forward,1941,Broadway,Hugh Martin and Ralph Blane,Martin and Blane,John Cecil Holm,,
The Best Little Whorehouse Goes Public,1994,Broadway,Carol Hall,Hall,Larry L. King and Peter Masterson,,
"The Best Little Whorehouse in Texas 

+ film (1982)",1978,Broadway,Carol Hall,Hall,Larry L. King and Peter Masterson,,
The Best Things in Life Are Free,1956,Film,Lionel Newman,Lew Brown and Buddy DeSylva,William Bowers and Phoebe Ephron,,
Betjemania,1976,West End,John Gould,John Betjeman,David Benedictus and Gould,,
Bette! Divine Madness,1979,Broadway revue,Various artists,Various artists,"Jerry Blatt, Bette Midler and Bruce Vilanch",,
Bette Midler's Clams on the Half Shell,1975,Broadway revue,Various artists,Various artists,"Bruce Vilanch, Bill Hennessy and Jerry Blatt",,
Better Man,2024,Film,Batu Sener (score) and Robbie Williams (songs),Robbie Williams and various artists,,"Directed by Michael Gracey, written by Simon Gleeson, Oliver Cole and Michael Gracey.",
The Better 'Ole,1917,West End,Herman Darewski,Percival Knight and James Heard,Bruce Bairnsfather and Arthur Elliot,,
Better Tunes,1922,Broadway revue,,,,,
Betty,1915,West End,Paul Rubens and Ernest Steffan,Adrian Ross and Rubens,Frederick Lonsdale and Gladys Unger,,
Betty Blue Eyes,2011,West End,George Stiles,Anthony Drewe,Ron Cowen and Daniel Lipman,Based on A Private Function by Alan Bennett and Malcolm Mowbray.,
Between the Devil,1937,Broadway,Arthur Schwartz,Howard Dietz,Dietz,,
Between the Lines,2017,Off-Broadway,Elyssa Samsel and Kate Anderson,Elyssa Samsel and Kate Anderson,Timothy Allen McDonald,,
Betwixt!,2008,Off West End,Ian McFarlane,McFarlane,McFarlane,,
Beyond the Fringe,1961,West End revue,Various artists,Various artists,"Alan Bennett, Peter Cook, Jonathan Miller and Dudley Moore",,
Big,1996,Broadway,David Shire,"Richard Maltby, Jr.",John Weidman,,
The Big Bang Theory: A Pop-Rock Musical Parody,2019,Off-Broadway,Karlan Judd,Judd,Judd,A musical parody of the television show The Big Bang Theory.,
The Big Beat,1958,Film,Henry Mancini,Mancini,David P. Harmon,,
